"ID","Orden","Fase","Módulo","Nivel","Semana sugerida","Lección","Tema","Objetivo de aprendizaje","Conceptos clave","Ejercicio guiado","Tarea / Entregable","Proyecto asociado","Herramientas","Duración clase (h)","Práctica sugerida (h)","Prioridad","Estado"
"UNE2D01","1","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 1","1","Clase diaria 1: Bienvenida, ruta del nivel y preparación del entorno","Conocer los objetivos del Nivel 2, organizar el trabajo del mes y preparar el entorno antes de programar.","Temario oficial, prácticas P1–P5, Visual Studio Code, estructura de carpetas y navegador","Crear y abrir en Visual Studio Code la carpeta del proyecto del Nivel 2.","Dejar lista la estructura de carpetas y escribir una breve meta personal para agosto.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Completado"
"UNE2D02","2","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 2","2","Clase diaria 2: Configuración del entorno y estructura mínima de HTML5","Comprender y aplicar el fundamento del día antes de avanzar.","Configuración del entorno y estructura mínima de HTML5","Ejercicio guiado en Visual Studio Code.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Completado"
"UNE2D03","3","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 3","3","Clase diaria 3: Etiquetas de encabezado, párrafos y comentarios","Comprender y aplicar el fundamento del día antes de avanzar.","Etiquetas de encabezado, párrafos y comentarios","Ejercicio guiado en Visual Studio Code.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Completado"
"UNE2D04","4","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 4","4","Clase diaria 4 — PRIMERO: refuerzo obligatorio (herramientas, VS Code, rutas, div/p y listas). DESPUÉS: formato de texto y jerarquía semántica básica","PRIMERO, antes de continuar con la clase original: reconocer LibreOffice, MariaDB, OpenJDK y JetBrains; practicar Alt+Z y ! con Emmet; distinguir rutas absolutas y relativas; comparar el comportamiento visual inicial de div y p; y dominar ol, ul y dl. Después, continuar con formato de texto y jerarquía semántica básica.","BLOQUE INICIAL OBLIGATORIO: LibreOffice (Linux), MariaDB, OpenJDK, JetBrains/IntelliJ; VS Code Alt+Z = Word Wrap; ! + Emmet = estructura HTML; ruta absoluta = dirección exacta/completa; ruta relativa = dirección basada en la ubicación actual; div sin margen externo predeterminado y p con margen predeterminado del navegador; listas <ol>, <ul>, <dl>, <dt>, <dd>. Luego: formato de texto y jerarquía semántica básica.","PRIMERO: 1) activar/desactivar Word Wrap con Alt+Z; 2) crear un archivo HTML y usar ! con Emmet; 3) identificar una ruta absoluta y una relativa; 4) comparar dos <div> con dos <p>; 5) reproducir en el navegador: <ul><li>zanahoria</li><li>tomate</li><li>perejil</li><li>naranja</li><li>pasta</li></ul>, luego la misma lista con <ol>, y una <dl> con pares <dt>término</dt><dd>descripción del término</dd>. Solo después continuar con el ejercicio original de la clase.","COMPROBACIÓN OBLIGATORIA ANTES DE AVANZAR: explicar qué hace Alt+Z; qué genera ! en HTML; diferencia entre ruta absoluta y relativa; por qué <p> suele mostrar separación y <div> no por defecto; y para qué sirven <ol>, <ul>, <dl>, <dt> y <dd>. No avanzar al contenido original de UNE2D04 hasta completar este bloque.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Completado"
"UNE2D05","5","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 5","5","Clase diaria 5: Enlaces internos, externos y atributos esenciales","Comprender y aplicar el fundamento del día antes de avanzar.","Enlaces internos, externos y atributos esenciales; refuerzo de rutas absolutas y relativas","Crear enlaces internos y externos y, en cada caso, decidir si la ruta es absoluta o relativa. Explicar por qué.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Completado"
"UNE2D06","6","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 6","6","Clase diaria 6: Listas ordenadas, desordenadas y de descripción","Comprender y aplicar el fundamento del día antes de avanzar.","Listas ordenadas <ol>, desordenadas <ul> y de descripción <dl>, con <dt> y <dd>","Rehacer sin copiar la práctica de ingredientes con <ul> y <ol>; crear además una <dl> con términos <dt> y descripciones <dd>, y comprobar cómo se reproduce cada lista en el navegador.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Completado"
"UNE2D07","7","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 7","7","Clase diaria 7: Imágenes: rutas, texto alternativo y dimensiones","Comprender y aplicar el fundamento del día antes de avanzar.","Imágenes: rutas, texto alternativo y dimensiones; decidir entre ruta absoluta y relativa","Insertar imágenes usando ejemplos de ruta absoluta y ruta relativa, y justificar cuál corresponde según la ubicación del archivo HTML.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","En curso"
"UNE2D08","8","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 8","8","Clase diaria 8: Rutas relativas, absolutas y organización de carpetas","Comprender y aplicar el fundamento del día antes de avanzar.","Rutas relativas, absolutas y organización de carpetas; práctica con subcarpetas, ./ y ../","Resolver rutas dentro de una estructura de carpetas usando rutas absolutas y relativas; practicar subcarpetas, ./ y ../ hasta seleccionar la dirección correcta sin ayuda.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
"UNE2D09","9","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 9","9","Clase diaria 9: Práctica P1: página con etiquetas básicas de texto","Comprender y aplicar el fundamento del día antes de avanzar.","Práctica P1: página con etiquetas básicas de texto","Ejercicio guiado en Visual Studio Code.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Completado"
"UNE2D10","10","Diplomado UneWeb","Programación Full Stack con Python e IA","Nivel 2 — HTML5 y CSS3 Nivel I","Agosto 2026 · Día 10","10","Clase diaria 10: Audio, video e iframe en HTML5","Comprender y aplicar el fundamento del día antes de avanzar.","Audio, video e iframe en HTML5","Ejercicio guiado en Visual Studio Code.","Tarea independiente y preguntas de comprobación.","Landing page estática","HTML5, CSS3, VS Code, navegador","1,5","1,","Alta","Pendiente"
